"FID","FNAME","FADDRESS","FCITY","FSTATE","FZIPCODE","FCOUNTY","FPHONE","FLATITUDE","FOWNERSHIP","HID","FLONGITUDE","FMODIFIED"
"260108","MISSOURI BAPTIST MEDICAL CENTER","3015 N BALLAS RD","TOWN AND COUNTRY","MO","63131","ST. LOUIS","(314) 996-5000","POINT (-90.443636 38.635532)","Voluntary non-profit - Private","","",""
"330158","GOOD SAMARITAN HOSPITAL OF SUFFERN","255 LAFAYETTE AVENUE","SUFFERN","NY","10901","ROCKLAND","(845) 368-5000","POINT (-74.136248 41.112389)","","","",""
"330005","KALEIDA HEALTH","100 HIGH STREET","BUFFALO","NY","14210","ERIE","(716) 859-8620","POINT (-78.864937 42.900329)","","","",""
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","LIVINGSTON","NJ","7039","ESSEX","(973) 322-5000","POINT (-74.302334 40.764045)","","","",""
"263303","RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL","11365 DORSETT ROAD","MARYLAND HEIGHTS","MO","63043","ST. LOUIS","(314) 872-6400","POINT (-90.415893 38.7095)","Voluntary non-profit - Private","","",""
"321310","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","TAOS","NM","87571","TAOS","(575) 758-8883","POINT (-105.577458 36.367397)","","","",""
"260209","FULTON MEDICAL CENTER LLC","10 SOUTH HOSPITAL DRIVE","FULTON","MO","65251","CALLAWAY","(573) 642-3376","POINT (-91.966202 38.842247)","Voluntary non-profit - Private","","",""
"321305","NOR-LEA HOSPITAL DISTRICT","1600 NORTH MAIN AVE","LOVINGTON","NM","88260","LEA","(575) 396-6611","POINT (-103.348637 32.96479)","","","",""
"313300","CHILDREN'S SPECIALIZED HOSPITAL","200 SOMERSET STREET","NEW BRUNSWICK","NJ","8901","MIDDLESEX","(732) 258-7050","POINT (-74.451509 40.49522)","","","",""
"310011","CAPE REGIONAL MEDICAL CENTER INC","TWO STONE HARBOR BLVD","CAPE MAY COURT HOUSE","NJ","8210","CAPE MAY","(609) 463-2000","","","","",""
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","ALBANY","NY","12208","ALBANY","(518) 525-1550","POINT (-73.802382 42.660176)","","","",""
"290012","SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA","102 E LAKE MEAD DR","HENDERSON","NV","89015","CLARK","(702) 616-5000","POINT (-114.983192 36.038829)","","","",""
"330169","MOUNT SINAI BETH ISRAEL","FIRST AVENUE AT 16TH STREET","NEW YORK","NY","10003","NEW YORK","(212) 420-2000","POINT (-73.9816 40.732665)","","","",""
"330100","N Y EYE AND EAR INFIRMARY","230 SECOND AVE","NEW YORK","NY","10003","NEW YORK","(212) 979-4000","POINT (-73.984816 40.732559)","","","",""
"290053","SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","LAS VEGAS","NV","89113","CLARK","(702) 492-8509","POINT (-115.271323 36.055545)","","","",""
"320090","PRESBYTERIAN SANTA FE MEDICAL CENTER","4801 BECKNER ROAD","SANTA FE","NM","87507","SANTA FE","(505) 923-8826","","","","",""
"271337","NORTHERN ROCKIES MEDICAL CENTER","802 2ND ST SE","CUT BANK","MT","59427","GLACIER","(406) 873-2251","POINT (-112.326345 48.62878)","","","",""
"271331","MINERAL COMMUNITY HOSPITAL","1208 6TH AVE E","SUPERIOR","MT","59872","MINERAL","(406) 822-4841","POINT (-114.876579 47.184726)","","","",""
"330191","GLENS FALLS HOSPITAL","100 PARK STREET","GLENS FALLS","NY","12801","WARREN","(518) 926-1000","POINT (-73.644551 43.308335)","","","",""
"330004","HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","396 BROADWAY","KINGSTON","NY","12401","ULSTER","(914) 331-3131","POINT (-73.995402 41.92635)","","","",""
"330188","MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER","5300 MILITARY ROAD","LEWISTON","NY","14092","NIAGARA","(716) 297-4800","POINT (-79.030462 43.154652)","","","",""
"271334","LIBERTY MEDICAL CENTER","315 W MADISON AVE","CHESTER","MT","59522","LIBERTY","(406) 759-5181","POINT (-110.971834 48.510497)","","","",""
"670076","BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA","3601 CALAIS DRIVE","SHERMAN","TX","75090","GRAYSON","(903) 813-3728","POINT (-96.602527 33.67686)","Physician","","",""
"310058","BERGEN NEW BRIDGE MEDICAL CENTER","230 EAST RIDGEWOOD AVE","PARAMUS","NJ","7652","BERGEN","(201) 967-4000","POINT (-74.062151 40.958602)","","","",""
"291312","GROVER C DILS MEDICAL CENTER","700 N SPRING ST, BOX 1010-C-ADM BLDG","CALIENTE","NV","89008","LINCOLN","(775) 726-3171","POINT (-114.511824 37.622281)","","","",""
"270032","NORTHERN MONTANA HOSPITAL","30 13TH ST","HAVRE","MT","59501","HILL","(406) 265-2211","POINT (-109.686363 48.539326)","Voluntary non-profit - Private","","",""
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","LONG BRANCH","NJ","7740","MONMOUTH","(732) 222-5200","POINT (-73.983598 40.295448)","","","",""
"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","BRICK","NJ","8724","OCEAN","(732) 840-2200","POINT (-74.129748 40.078327)","","","",""
"310130","HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL","250 OLD HOOK ROAD","WESTWOOD","NJ","7675","BERGEN","(201) 383-1035","POINT (-74.014195 40.983658)","","","",""
"490145","STONESPRINGS HOSPITAL CENTER","24440 STONE SPRINGS BOULEVARD","DULLES","VA","20166","LOUDOUN","(571) 349-4000","POINT (-77.544301 38.941185)","Proprietary","","",""
"261337","MISSOURI BAPTIST SULLIVAN HOSPITAL","751 SAPPINGTON BRIDGE RD","SULLIVAN","MO","63080","FRANKLIN","(573) 468-4186","POINT (-91.169288 38.195574)","","","",""
"320038","REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES","1901 RED ROCK DRIVE","GALLUP","NM","87301","MCKINLEY","(505) 863-7000","POINT (-108.727248 35.5075)","","","",""
"271306","MOUNTAINVIEW MEDICAL CENTER","16 W MAIN ST","WHITE SULPHUR SPRING","MT","59645","MEAGHER","(406) 547-3321","POINT (-110.904216 46.548207)","","","",""
"10073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","36251","CLAY","(256) 354-2131","POINT (-85.823789 33.276548)","","","",""
"10079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","LIMESTONE","(256) 233-9292","POINT (-86.977803 34.803499)","","","",""
"330101","NEW YORK-PRESBYTERIAN HOSPITAL-NEW YORK WEILL CORN","525 EAST 68TH STREET","NEW YORK","NY","10065","NEW YORK","(212) 746-5454","POINT (-73.954335 40.76415)","","","",""
"271305","MCCONE COUNTY HEALTH CENTER","605 SULLIVAN AVE","CIRCLE","MT","59215","MCCONE","(406) 485-3381","POINT (-105.581834 47.418937)","","","",""
"291311","DESERT VIEW HOSPITAL","360 SOUTH LOLA LANE","PAHRUMP","NV","89048","NYE","(775) 751-7500","POINT (-116.023381 36.214376)","","","",""
"320058","MESCALERO PHS INDIAN HOSPITAL","P O BOX 210","MESCALERO","NM","88340","OTERO","(505) 464-4441","","","","",""
"330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","ROSLYN","NY","11576","NASSAU","(516) 562-6000","POINT (-73.672669 40.804505)","","","",""
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","SUMMIT","NJ","7902","UNION","(908) 522-2000","POINT (-74.354023 40.71241)","","","",""
"10095","HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL","36744","HALE","(334) 624-3024","POINT (-87.018633 32.412098)","","","",""
"271326","BEARTOOTH BILLINGS CLINIC","2525 N BROADWAY","RED LODGE","MT","59068","CARBON","(406) 446-2345","POINT (-109.243045 45.211697)","","","",""
"271320","CABINET PEAKS MEDICAL CENTER","209 HEALTH PARK DR","LIBBY","MT","59923","LINCOLN","(406) 293-0100","POINT (-115.546271 48.392621)","","","",""
"260078","OZARKS MEDICAL CENTER","1100 KENTUCKY AVE","WEST PLAINS","MO","65775","HOWELL","(417) 256-9111","POINT (-91.875552 36.737992)","Voluntary non-profit - Other","","",""
"280134","KEARNEY REGIONAL MEDICAL CENTER","804 22ND AVENUE","KEARNEY","NE","68845","BUFFALO","(308) 455-3600","POINT (-99.0931 40.6975)","","","",""
"520071","FORT MEMORIAL HOSPITAL","611 SHERMAN AVE E","FORT ATKINSON","WI","53538","JEFFERSON","(920) 568-5000","POINT (-88.827933 42.929969)","Voluntary non-profit - Private","","",""
"281365","JENNIE M MELHAM MEMORIAL MEDICAL CENTER","145 MEMORIAL DRIVE","BROKEN BOW","NE","68822","CUSTER","(308) 872-4100","POINT (-99.632262 41.409054)","","","",""
"270051","KALISPELL REGIONAL MEDICAL CENTER","310 SUNNYVIEW LANE","KALISPELL","MT","59901","FLATHEAD","(406) 752-5111","POINT (-114.324753 48.215685)","Voluntary non-profit - Private","","",""
"260077","MERCY HOSPITAL SOUTH","10010 KENNERLY ROAD","SAINT LOUIS","MO","63128","ST. LOUIS","(314) 525-1000","POINT (-90.37775 38.509739)","Voluntary non-profit - Private","","",""
"10131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","(256) 882-3100","","","","",""
"10138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","YORK","AL","36925","SUMTER","(205) 392-5263","POINT (-88.296081 32.491825)","Voluntary non-profit - Other","","",""
"10148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","AL","36401","CONECUH","(251) 578-2480","POINT (-86.94205 31.43126)","","","",""
"10168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","(334) 732-3000","POINT (-85.005696 32.509045)","","","",""
"10173","ST VINCENT'S CHILTON","2030 LAY DAM ROAD","CLANTON","AL","35045","CHILTON","(205) 258-4400","POINT (-86.623511 32.876585)","","","",""
"11304","CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618","BUTLER","AL","36904","CHOCTAW","(205) 459-9100","","","","",""
"20018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","BETHEL","AK","99559","BETHEL","(907) 543-6300","","","","",""
"21305","SEARHC WRANGELL MEDICAL CENTER-CAH","310 BENNETT STREET PO BOX 1081","WRANGELL","AK","99929","WRANGELL CITY AND BOROUGH","(907) 874-7000","POINT (-132.376414 56.471646)","","","",""
"21307","CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE","CORDOVA","AK","99574","VALDEZ-CORDOVA","(907) 424-8000","","","","",""
"21310","MANIILAQ HEALTH CENTER","PO BOX 43","KOTZEBUE","AK","99752","NORTHWEST ARTIC BOROUGH","(907) 442-3321","","","","",""
"30073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","(928) 283-2501","","","","",""
"30085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","(520) 469-8100","POINT (-111.012054 32.319581)","","","",""
"30088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","(480) 321-2000","POINT (-111.688045 33.410465)","","","",""
"30094","ABRAZO ARROWHEAD CAMPUS","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","(623) 561-1000","POINT (-112.202889 33.655042)","","","",""
"30121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ","85209","MARICOPA","(480) 358-6100","POINT (-111.615329 33.3911)","","","",""
"30138","WESTERN REGIONAL MEDICAL CENTER","14200 WEST CELEBRATE LIFE WAY","GOODYEAR","AZ","85338","MARICOPA","(623) 207-3518","POINT (-112.362571 33.452804)","","","",""
"30139","DIGNITY HEALTH ARIZONA GENERAL HOSPITAL","9130 EAST ELLIOT ROAD","MESA","AZ","85212","MARICOPA","(480) 410-4500","","","","",""
"31309","SAGE MEMORIAL HOSPITAL","STATE ROUTE 264 SOUTH 191","GANADO","AZ","86505","APACHE","(928) 755-4541","","Voluntary non-profit - Private","","",""
"40007","CHI-ST VINCENT INFIRMARY","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR","72205","PULASKI","(501) 552-3000","","","","",""
"40041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","RUSSELLVILLE","AR","72801","POPE","(479) 968-2841","POINT (-93.149908 35.28286)","","","",""
"40050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR","71701","OUACHITA","(870) 836-1000","","","","",""
"40051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","MONTICELLO","AR","71655","DREW","(870) 367-2411","POINT (-91.814978 33.610628)","","","",""
"40071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR","71603","JEFFERSON","(870) 541-7100","POINT (-92.018453 34.189066)","","","",""
"40132","LEVI HOSPITAL","300 PROSPECT AVE","HOT SPRINGS","AR","71901","GARLAND","(501) 624-1281","POINT (-93.056649 34.509945)","","","",""
"40153","WADLEY REGIONAL MEDICAL CENTER AT HOPE","2001 SOUTH MAIN","HOPE","AR","71801","HEMPSTEAD","(870) 722-3800","POINT (-93.587052 33.648008)","","","",""
"370029","ALLIANCEHEALTH CLINTON","100 NORTH 30TH STREET","CLINTON","OK","73601","CUSTER","(580) 323-2363","POINT (-98.996879 35.514789)","","","",""
"360071","VAN WERT COUNTY HOSPITAL","1250 S WASHINGTON STREET","VAN WERT","OH","45891","VAN WERT","(419) 238-8627","POINT (-84.581367 40.850314)","","","",""
"360197","MARY RUTAN HOSPITAL","205 PALMER AVENUE","BELLEFONTAINE","OH","43311","LOGAN","(937) 599-7002","POINT (-83.756703 40.368954)","","","",""
"361300","PAULDING COUNTY HOSPITAL","1035 WEST WAYNE ST.","PAULDING","OH","45879","PAULDING","(419) 399-1103","POINT (-84.600494 41.13529)","","","",""
"330399","ST BARNABAS HOSPITAL","4422 THIRD AVENUE","BRONX","NY","10457","BRONX","(212) 960-9000","POINT (-73.892168 40.85277)","","","",""
"351324","CHI MERCY HEALTH","570 CHAUTAUQUA BLVD","VALLEY CITY","ND","58072","BARNES","(701) 845-6400","POINT (-97.994908 46.928492)","","","",""
"331319","MEDINA MEMORIAL HOSPITAL","200 OHIO STREET","MEDINA","NY","14103","ORLEANS","(585) 798-8111","POINT (-78.397073 43.223707)","","","",""
"361322","BLUFFTON HOSPITAL","139 GARAU STREET","BLUFFTON","OH","45817","ALLEN","(419) 358-9010","POINT (-83.898149 40.887578)","","","",""
"360002","UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER","1025 CENTER ST","ASHLAND","OH","44805","ASHLAND","(419) 289-0491","POINT (-82.310413 40.858702)","","","",""
"340143","CATAWBA VALLEY MEDICAL CENTER","810 FAIRGROVE CHURCH RD","HICKORY","NC","28602","CATAWBA","(828) 326-3809","POINT (-81.264779 35.711195)","","","",""
"330259","MERCY MEDICAL CENTER","1000 NORTH VILLAGE AVENUE","ROCKVILLE CENTRE","NY","11570","NASSAU","(516) 705-2525","POINT (-73.633236 40.688191)","","","",""
"330285","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","ROCHESTER","NY","14642","MONROE","(585) 275-2121","POINT (-77.623692 43.124394)","","","",""
"370112","SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT","213 EAST REDWOOD","SALLISAW","OK","74955","SEQUOYAH","(918) 774-1100","POINT (-94.78904 35.463563)","","","",""
"340145","ATRIUM HEALTH LINCOLN","433 MCALISTER RD","LINCOLNTON","NC","28092","LINCOLN","(980) 212-2000","POINT (-81.201314 35.488387)","","","",""
"330236","NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL","506 SIXTH STREET","BROOKLYN","NY","11215","KINGS","(718) 780-3000","POINT (-73.979141 40.668263)","","","",""
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","RICHMOND HEIGHTS","OH","44143","CUYAHOGA","(440) 585-6170","POINT (-81.490272 41.581043)","","","",""
"331314","SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES","418 NORTH MAIN STREET","PENN YAN","NY","14527","YATES","(315) 787-4175","POINT (-77.059591 42.670468)","","","",""
"351302","MCKENZIE COUNTY HEALTHCARE SYSTEMS INC","709 4TH AVE NE","WATFORD CITY","ND","58854","MCKENZIE","(701) 842-3000","POINT (-103.271358 47.804682)","","","",""
"370220","ONECORE HEALTH","1044 SW 44TH, SUITE 350","OKLAHOMA CITY","OK","73109","OKLAHOMA","(405) 631-3085","POINT (-97.533868 35.420729)","","","",""
"370023","DUNCAN REGIONAL HOSPITAL, INC","1407 WHISENANT DRIVE","DUNCAN","OK","73533","STEPHENS","(580) 252-5300","POINT (-97.974978 34.520014)","","","",""
"331309","RIVER HOSPITAL CLINICS","4 FULLER STREET","ALEXANDRIA BAY","NY","13607","JEFFERSON","(315) 482-2511","POINT (-75.920022 44.337217)","","","",""
"361303","LODI COMMUNITY HOSPITAL","225 ELYRIA STREET","LODI","OH","44254","MEDINA","(330) 948-1222","POINT (-82.013516 41.036087)","","","",""
"370114","ST JOHN MEDICAL CENTER, INC","1923 SOUTH UTICA AVENUE","TULSA","OK","74104","TULSA","(918) 744-3131","POINT (-95.967243 36.134928)","","","",""
"340188","CAPE FEAR VALLEY HOKE HOSPITAL","210 MEDICAL PAVILION DRIVE","RAEFORD","NC","28376","HOKE","(910) 904-8000","POINT (-79.108824 35.031426)","","","",""
"361310","MERCY HEALTH - WILLARD HOSPITAL","1100 NEAL ZICK ROAD","WILLARD","OH","44890","HURON","(419) 964-5000","POINT (-82.724 41.048589)","","","",""
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","GREENVILLE","NC","27834","PITT","(252) 847-4100","POINT (-77.400952 35.60581)","","","",""
"360131","ALLIANCE COMMUNITY HOSPITAL","200 EAST STATE STREET","ALLIANCE","OH","44601","STARK","(330) 596-7018","POINT (-81.102736 40.901679)","","","",""
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","CHAPEL HILL","NC","27514","ORANGE","(919) 966-4141","POINT (-79.051894 35.903551)","","","",""
"370099","HILLCREST HOSPITAL CUSHING","1027 EAST CHERRY STREET","CUSHING","OK","74023","PAYNE","(918) 225-2915","POINT (-96.757473 35.978942)","","","",""
"330277","CORNING HOSPITAL","1 GUTHRIE DRIVE","CORNING","NY","14830","STEUBEN","(607) 937-7200","POINT (-76.969841 42.136107)","","","",""
"370170","LAWTON INDIAN HOSPITAL","1515 LAWRIE TATUM ROAD","LAWTON","OK","73507","COMANCHE","(580) 354-5000","POINT (-98.385718 34.627494)","","","",""
"330270","HOSPITAL FOR SPECIAL SURGERY","535 EAST 70TH STREET","NEW YORK","NY","10021","NEW YORK","(212) 606-1000","POINT (-73.953128 40.764866)","","","",""
"331302","ELIZABETHTOWN COMMUNITY HOSPITAL","75 PARK STREET","ELIZABETHTOWN","NY","12932","ESSEX","(518) 873-6377","POINT (-73.596624 44.21543)","","","",""
"360017","GRANT MEDICAL CENTER","111 SOUTH GRANT AVENUE","COLUMBUS","OH","43215","FRANKLIN","(614) 566-9000","POINT (-82.990621 39.960866)","","","",""
"370041","BRISTOW MEDICAL CENTER","700 W. 7TH STREET","BRISTOW","OK","74010","CREEK","(918) 367-2215","POINT (-96.400714 35.833838)","","","",""
"360044","WAYNE HOSPITAL","835 SWEITZER STREET","GREENVILLE","OH","45331","DARKE","(937) 548-1141","POINT (-84.635099 40.088508)","","","",""
"330229","BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVENUE","DUNKIRK","NY","14048","CHAUTAUQUA","(716) 366-1111","POINT (-79.333617 42.480106)","","","",""
"370183","HILLCREST HOSPITAL HENRYETTA","2401 W MAIN","HENRYETTA","OK","74437","OKMULGEE","(918) 650-1511","POINT (-96.015496 35.439738)","","","",""
